ID,Name,Cases,Cases_Percentage,Cases_Percentage_mapped,testing,population,pop_density,pop_density_corrected,ethnicity_Latin_American,ethnicity_South_Asian,ethnicity_Chinese,ethnicity_Black,ethnicity_Filipino,ethnicity_Arab,ethnicity_Southeast_Asian,ethnicity_West_Asian,ethnicity_Korean,ethnicity_Japanese,ethnicity_Not_visible_minority,ethnicity_visible_minority_percentage,ethnicity_visible_minority_percentage_mapped,ethnicity_not_visible_minority_percentage,Median_Household_income,Median_Household_income_corrected,Median_Household_income_corrected_inverted,Poverty_percentage,Poverty_percentage_mapped,Edu_No_Education,Edu_Secondary_school_diploma,Edu_College,Edu_University,Edu_highschool_or_below_percentage,Edu_highschool_or_below_percentage_mapped,house_Single-detached_houses,house_Apartments_greater_than_5_story,house_Semi-detached_house,house_Row_house,house_Apartment_or_flat_in_a_duplex,house_Apartment_in_fewer_than_five_storeys,house_Other_single-attached_house,house_Movable_dwelling,average_household_size,average_household_size_corrected,apartments_percentage,apartments_percentage_mapped
71,Cabbagetown-South St. James Town,540,0.052967141,0.213957497,0.230487477,"10,195","8,335",0.16854971,260,525,720,510,485,110,125,50,95,35,"7,815",0.27167,0.18743,0.72833,60268,0.159182332,0.840817668,0.191,0.393162393,770,2065,1600,5105,0.297169811,0.217171661,0.0248,0.5241,0.0714,0.0978,0.0248,0.2547,0.0031,0,1.71,0.089473684,0.8036,0.795641188
109,Caledonia-Fairbank,863,0.102494062,0.543094329,0.28401481,"8,420","6,464",0.125320579,825,230,235,860,890,0,160,10,30,10,"6,320",0.3396,0.2671,0.6604,56115,0.135652854,0.864347146,0.132,0.225071225,2925,2175,1385,1160,0.667102681,0.860347576,0.4559,0.0448,0.118,0.0054,0.1194,0.2551,0,0,2.69,0.605263158,0.4193,0.39102969
96,Casa Loma,359,0.037454356,0.110865506,0.24371622,"9,585","5,683",0.10727571,225,360,420,280,85,65,55,65,110,80,"9,025",0.16202,0.05884,0.83798,78152,0.260506963,0.739493037,0.14,0.247863248,490,1690,1165,5920,0.235294118,0.109592803,0.1617,0.4954,0.049,0.037,0.0287,0.2264,0,0,2,0.242105263,0.7505,0.739734681
133,Centennial Scarborough,674,0.060205449,0.262060503,0.206993833,"11,195","2,479",0.033247845,115,"2,475",710,945,785,175,55,100,40,85,"7,525",0.4216,0.36326,0.5784,102864,0.400516708,0.599483292,0.06,0.01994302,1295,2820,2235,4055,0.395482941,0.388101692,0.8014,0,0.0365,0.1107,0.0342,0.0137,0,0.0011,3.05,0.794736842,0.0479,0
75,Church-Yonge Corridor,1210,0.041580756,0.13828797,0.170391479,"29,100","23,044",0.508398604,695,"2,510","3,835","1,465",755,625,320,500,665,235,"17,880",0.39359,0.33041,0.60641,47195,0.085115183,0.914884817,0.262,0.595441595,1220,5510,3800,16930,0.245083758,0.126613353,0.0005,0.9174,0.0013,0.0112,0.0023,0.065,0.0015,0,1.54,0,0.9847,0.986312908
120,Clairlea-Birchmount,2110,0.097056118,0.506955849,0.267226009,"21,740","3,632",0.059887711,375,"6,140","2,120","2,670","3,140",160,250,185,110,180,"10,185",0.60082,0.57344,0.39918,59224,0.153267385,0.846732615,0.18,0.361823362,4215,6165,3930,5755,0.517318714,0.599928868,0.3389,0.2124,0.1097,0.113,0.0784,0.1422,0.0054,0,2.84,0.684210526,0.433,0.40545378
33,Clanton Park,876,0.064128843,0.288133868,0.29810861,"13,660","3,979",0.067905085,255,400,500,560,"3,315",155,210,165,175,50,"10,115",0.36384,0.29552,0.63616,61094,0.163862166,0.836137834,0.138,0.242165242,1735,3245,2310,5290,0.395866455,0.38876848,0.3672,0.3534,0.0015,0.0023,0.0847,0.1916,0.0015,0.0008,2.51,0.510526316,0.6297,0.612550011
123,Cliffcrest,907,0.06845283,0.316869419,0.226051036,"13,250","2,273",0.028488251,135,"3,000",765,990,775,80,60,165,55,90,"9,235",0.39837,0.33602,0.60163,68647,0.206654882,0.793345118,0.155,0.290598291,2165,3925,2645,3640,0.492121212,0.556119767,0.5724,0.2261,0.0093,0.0737,0.0796,0.0271,0.0102,0,2.68,0.6,0.3328,0.299957886
92,Corso Italia-Davenport,845,0.069433032,0.323383464,0.278082092,"12,170","7,478",0.148748874,"1,135",325,445,655,370,45,95,80,65,60,"10,570",0.23655,0.14624,0.76345,63149,0.175505093,0.824494907,0.133,0.227920228,3390,2875,1675,3285,0.558129176,0.670883109,0.2257,0,0.2238,0.0191,0.111,0.4067,0.0118,0,2.56,0.536842105,0.5177,0.494630449
66,Danforth,320,0.040251572,0.129454726,0.302902111,"7,950","8,554",0.173609667,85,705,820,340,90,25,65,30,65,90,"7,110",0.24562,0.15688,0.75438,69640,0.212280881,0.787719119,0.122,0.196581197,1440,1670,1145,3295,0.41192053,0.416680557,0.1745,0.0841,0.3159,0.0076,0.0548,0.3592,0.0064,0,2.44,0.473684211,0.4981,0.473994525
59,Danforth East York,628,0.044697509,0.15900071,0.267678511,"14,050","7,881",0.158060119,300,"1,030","1,530",700,440,95,140,155,140,260,"11,985",0.28554,0.2037,0.71446,70739,0.218507439,0.781492561,0.123,0.199430199,2500,3045,2370,5255,0.42103265,0.432523151,0.4131,0.1254,0.2422,0.005,0.0783,0.1346,0.0021,0,2.43,0.468421053,0.3383,0.305748579
47,Don Valley Village,1190,0.05228471,0.209422324,0.154485314,"22,760","6,441",0.124789168,550,"2,890","6,960","1,285","2,170",885,190,"2,450",835,135,"7,795",0.70186,0.69193,0.29814,56780,0.139420516,0.860579484,0.237,0.524216524,2505,5220,3635,9675,0.367245068,0.339006515,0.2125,0.5644,0.0361,0.1419,0.0145,0.0306,0,0,2.69,0.605263158,0.6095,0.591282375
126,Dorset Park,2215,0.11000745,0.59302541,0.249065772,"20,135","4,146",0.071763591,270,"7,245","2,745","2,205","3,430",810,265,795,25,65,"5,440",0.76647,0.76771,0.23353,51724,0.110774949,0.889225051,0.201,0.421652422,3975,5985,3570,4945,0.539106901,0.637810436,0.2426,0.4294,0.0382,0.1777,0.0581,0.053,0.0006,0,2.78,0.652631579,0.5405,0.518635502
93,Dovercourt-Wallace Emerson-Junction,1667,0.052363751,0.2099476,0.230282276,"31,835","9,819",0.202837273,"1,510","2,105","2,825","2,110",610,180,"1,000",210,435,245,"23,935",0.31935,0.24335,0.68065,56997,0.140649964,0.859350036,0.164,0.316239316,7105,7335,4590,10775,0.484482469,0.542838829,0.1068,0.1479,0.1339,0.0745,0.0741,0.4491,0.0144,0.0003,2.37,0.436842105,0.6711,0.656138134
26,Downsview-Roding-CFB,4528,0.154776961,0.890546328,0.273390015,"29,255","2,337",0.02996696,"3,605","1,380",780,"5,455","4,535",255,"2,065",510,130,50,"14,945",0.55666,0.52165,0.44334,47173,0.084990538,0.915009462,0.181,0.364672365,8590,8365,5015,4485,0.640899641,0.814790217,0.3299,0.235,0.0705,0.0491,0.0324,0.2834,0.0004,0.0008,2.67,0.594736842,0.5508,0.529479891
83,Dufferin Grove,556,0.053333333,0.216391068,0.239356793,"10,425","8,540",0.173286199,490,665,845,595,170,90,235,45,120,60,"8,080",0.29092,0.21,0.70908,47843,0.088786529,0.911213471,0.173,0.341880342,2150,2125,1590,3965,0.434893184,0.456621473,0.057,0.2456,0.092,0.0202,0.0736,0.4968,0.0175,0,2.15,0.321052632,0.816,0.808696568
